,street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
3526 HIGH ST,SACRAMENTO,95838,CA,2,1,836,Residential,Wed May 21 00:00:00 EDT 2008,59222,38.631913,-121.434879
51 OMAHA CT,95823,3,1167,68212,38.478902,-121.431028
2796 BRANCH ST,95815,796,68880,38.618305,-121.443839
2805 JANETTE WAY,852,69307,38.616835,-121.439146
6001 MCMAHON DR,95824,797,81900,38.51947,-121.435768
5828 PEPPERMILL CT,95841,1122,Condo,89921,38.662595,-121.327813
6048 OGDEN NASH WAY,95842,1104,90895,38.681659,-121.351705
2561 19TH AVE,95820,1177,91002,38.535092,-121.481367
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,941,94905,38.621188,-121.270555
7325 10TH ST,RIO LINDA,95673,1146,98937,38.700909,-121.442979
645 MORRISON AVE,909,100309,38.637663,-121.45152
4085 FAWN CIR,1289,106250,38.470746,-121.458918
2930 LA ROSA RD,871,106852,38.618698,-121.435833
2113 KIRK WAY,95822,1020,107502,38.482215,-121.492603
4533 LOCH HAVEN WAY,1022,108750,38.672914,-121.35934
7340 HAMDEN PL,1134,110700,38.700051,-121.351278
6715 6TH ST,844,113263,38.689591,-121.452239
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,795,116250,38.679776,-121.314089
250 PERALTA AVE,95833,588,120000,38.612099,-121.469095
113 LEEWILL AVE,1356,121630,38.689999,-121.46322
6118 STONEHAND AVE,1118,122000,38.707851,-121.320707
4882 BANDALIN WAY,4,1329,122682,38.468173,-121.444071
7511 OAKVALE CT,NORTH HIGHLANDS,95660,1240,123000,38.702792,-121.38221
9 PASTURE CT,95834,1601,124100,38.628631,-121.488097
3729 BAINBRIDGE DR,901,125000,38.701499,-121.37622
3828 BLACKFOOT WAY,ANTELOPE,95843,1088,126640,38.70974,-121.37377
4108 NORTON WAY,963,127281,38.537526,-121.478315
1469 JANRICK AVE,95832,1119,129000,38.476472,-121.501711
9861 CULP WAY,95827,1380,131200,38.558423,-121.327948
7825 CREEK VALLEY CIR,95828,1248,132000,38.472122,-121.404199
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,1039,133000,38.423251,-121.444489
6768 MEDORA DR,1152,134555,38.691161,-121.37192
3100 EXPLORER DR,136500,38.566663,-121.332644
7944 DOMINION WAY,ELVERTA,95626,1116,138750,38.713182,-121.411227
5201 LAGUNA OAKS DR Unit 162,141000,-121.444489
3920 SHINING STAR DR,1418,146250,38.48742,-121.462459
5031 CORVAIR ST,1082,147308,38.658246,-121.375469
7661 NIXOS WAY,1472,148750,38.479553,-121.463317
7044 CARTHY WAY,149593,38.49857,-121.420925
2442 LARKSPUR LN,95825,760,150000,38.58514,-121.403736
4800 WESTLAKE PKWY Unit 2109,95835,1304,152000,38.658812,-121.542345
2178 63RD AVE,1207,154000,38.493955,-121.48966
8718 ELK WAY,95624,1056,156896,38.41653,-121.379653
5708 RIDGEPOINT DR,1043,161250,38.72027,-121.331555
7315 KOALA CT,1587,161500,38.699251,-121.371414
2622 ERIN DR,1120,164000,38.613765,-121.488694
8421 SUNBLAZE WAY,1580,165000,38.450543,-121.432538
7420 ALIX PKWY,1955,166357,38.489405,-121.452811
3820 NATOMA WAY,1656,38.636748,-121.422159
4431 GREEN TREE DR,1477,168000,38.499954,-121.454469
9417 SARA ST,1188,170000,38.415518,-121.370527
8299 HALBRITE WAY,1590,173000,38.473814,-121.4
7223 KALLIE KAY LN,1463,174250,38.477553,-121.419463
8156 STEINBECK WAY,1714,174313,38.474853,-121.406326
7957 VALLEY GREEN DR,1185,178480,38.465184,-121.434925
1122 WILD POPPY CT,GALT,95632,1406,178760,38.287789,-121.294715
4520 BOMARK WAY,1943,Multi-Family,179580,38.665724,-121.358576
9012 KIEFER BLVD,95826,1172,181000,38.547011,-121.366217
5332 SANDSTONE ST,CARMICHAEL,95608,181872,38.662105,-121.313945
5993 SAWYER CIR,1851,182587,38.4473,-121.435218
4844 CLYDEBANK WAY,1215,182716,38.714609,-121.347887
306 CAMELLIA WAY,1130,182750,38.260443,-121.297864
9021 MADISON AVE,ORANGEVALE,95662,1603,183200,38.664186,-121.217511
404 6TH ST,1479,188741,38.251808,-121.302493
8317 SUNNY CREEK WAY,1420,189000,38.459041,-121.424644
2617 BASS CT,1280,192067,38.560767,-121.377471
7005 TIANT WAY,1586,194000,38.422811,-121.423285
7895 CABER WAY,1362,194818,38.711279,-121.393449
7624 BOGEY CT,2162,195000,38.48009,-121.415102
6930 HAMPTON COVE WAY,1266,198000,38.44004,-121.421012
8708 MESA BROOK WAY,1715,199500,38.44076,-121.385792
120 GRANT LN,FOLSOM,95630,1820,200000,38.687742,-121.17104
5907 ELLERSLEE DR,936,38.664468,-121.32683
17 SERASPI CT,0,206000,38.631481,-121.50188
170 PENHOW CIR,1511,208000,38.653439,-121.535169
8345 STAR THISTLE WAY,212864,38.454349,-121.439239
9080 FRESCA WAY,1596,221000,38.427818,-121.424026
391 NATALINO CIR,1341,38.67307,-121.506373
8373 BLACKMAN WAY,5,2136,223058,38.435436,-121.394536
9837 CORTE DORADO CT,1616,227887,38.400676,-121.38101
5037 J PKWY,1478,231477,38.491399,-121.443547
10245 LOS PALOS DR,1287,234697,38.593699,-121.31089
6613 NAVION DR,1277,235000,38.702855,-121.31308
2887 AZEVEDO DR,1448,236000,38.618457,-121.509439
9186 KINBRACE CT,95829,2235,236685,38.463355,-121.358936
4243 MIDDLEBURY WAY,MATHER,95655,2093,237800,38.547991,-121.280483
1028 FALLON PLACE CT,1193,240122,38.693818,-121.441153
4804 NORIKER DR,95757,2163,242638,38.400974,-121.448424
7713 HARVEST WOODS DR,1269,244000,38.478198,-121.412911
2866 KARITSA AVE,244500,38.626671,-121.52597
6913 RICHEVE WAY,958,244960,38.502519,-121.420769
8636 TEGEA WAY,2508,245918,38.443832,-121.382087
5448 MAIDSTONE WAY,1305,250000,38.665395,-121.293288
18 OLLIE CT,1591,38.444909,-121.412345
4010 ALEX LN,1326,250134,38.637028,-121.312963
4901 MILLNER WAY,1843,254200,38.38692,-121.447349
4818 BRITTNEY LEE CT,1921,38.653917,-121.34218
5529 LAGUNA PARK DR,2790,258000,38.42568,-121.438062
230 CANDELA CIR,1541,260000,38.656251,-121.547572
4900 71ST ST,1018,260014,38.53151,-121.421089
12209 CONSERVANCY WAY,95742,263500,38.553867,-121.219141
4236 NATOMAS CENTRAL DR,1672,265000,38.648879,-121.544023
5615 LUPIN LN,POLLOCK PINES,95726,38.708315,-120.603872
5625 JAMES WAY,975,271742,38.523947,-121.484946
7842 LAHONTAN CT,2372,273750,38.472976,-121.318633
6850 21ST ST,1446,275086,38.502194,-121.490795
2900 BLAIR RD,1284,280908,38.75485,-120.60476
2064 EXPEDITION WAY,3009,280987,38.474099,-121.490711
2912 NORCADE CIR,8,3612,282400,38.559505,-121.364839
9507 SEA CLIFF WAY,2056,285000,38.410992,-121.479043
8882 AUTUMN GOLD CT,1993,287417,38.4439,-121.37255
5322 WHITE LOTUS WAY,1857,291000,38.391538,-121.442596
1838 CASTRO WAY,95818,1126,292024,38.556098,-121.490787
10158 CRAWFORD WAY,2213,297000,38.5703,-121.315735
7731 MASTERS ST,2494,38.442031,-121.410873
4925 PERCHERON DR,298000,38.40154,-121.447649
2010 PROMONTORY POINT LN,GOLD RIVER,1520,299000,38.62869,-121.261669
4727 SAVOIE WAY,2800,304037,38.658182,-121.549521
8664 MAGNOLIA HILL WAY,2309,311000,38.442352,-121.389675
9570 HARVEST ROSE WAY,2367,315537,38.555993,-121.340352
4359 CREGAN CT,3516,320000,38.545128,-121.224922
5337 DUSTY ROSE WAY,38.528575,-121.2286
8929 SUTTERS GOLD DR,1914,328360,38.550848,-121.370224
8025 PEERLESS AVE,1690,334150,38.71147,-121.216214
4620 WELERA WAY,2725,335750,38.398609,-121.450148
9723 TERRAPIN CT,2354,38.403492,-121.430224
2115 SMOKESTACK WAY,339500,38.602416,-121.542965
100 REBECCA WAY,2185,344250,38.68479,-121.149199
9488 OAK VILLAGE WAY,1801,346210,38.41333,-121.404999
8495 DARTFORD DR,1961,347029,38.448507,-121.421346
6708 PONTA DO SOL WAY,3134,347650,38.380635,-121.425538
4143 SEA MEADOW WAY,1915,351300,38.46534,-121.457519
3020 RICHARDSON CIR,EL DORADO HILLS,95762,352000,38.691299,-121.081752
8082 LINDA ISLE LN,95831,370000,38.4772,-121.5215
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,95683,2734,370500,38.4874,-121.075129
11215 SHARRMONT CT,WILTON,95693,2110,372000,38.35062,-121.228349
7105 DANBERG WAY,3164,375000,38.4019,-121.420388
5579 JERRY LITELL WAY,3599,381300,38.677126,-121.500519
1050 FOXHALL WAY,2054,381942,38.509819,-121.519661
7837 ABBINGTON WAY,1830,387731,38.709873,-121.339472
1300 F ST,95814,1627,391000,38.58355,-121.487289
6801 RAWLEY WAY,3440,394470,38.408351,-121.423925
1693 SHELTER COVE DR,GREENWOOD,95635,2846,395000,38.945357,-120.908822
9361 WADDELL LN,2359,400186,38.450829,-121.349928
10 SEA FOAM CT,2052,415000,38.487885,-121.545947
6945 RIO TEJO WAY,3433,425000,38.385638,-121.422616
4186 TULIP PARK WAY,3615,430000,38.550617,-121.23526
9278 DAIRY CT,445000,38.420338,-121.363757
207 ORANGE BLOSSOM CIR Unit C,2687,460000,38.646273,-121.175322
6507 RIO DE ONAR WAY,2724,461000,38.38253,-121.428007
7004 RAWLEY WAY,489332,38.406421,-121.422081
6503 RIO DE ONAR WAY,3508,510000,-121.428038
2217 APPALOOSA CT,2462,539000,38.655167,-121.090178
868 HILDEBRAND CIR,585000,38.670947,-121.097727
6030 PALERMO WAY,600000,38.672761,-121.050378
4070 REDONDO DR,606238,38.666807,-121.06483
4004 CRESTA WAY,95864,2325,660000,38.591618,-121.370626
315 JUMEL CT,6,830000,38.669931,-121.05958
6272 LONGFORD DR Unit 1,Tue May 20 00:00:00 EDT 2008,69000,38.680923,-121.313945
3432 Y ST,95817,1099,70000,38.554967,-121.468046
9512 EMERALD PARK DR Unit 3,840,71000,38.40573,-121.369832
3132 CLAY ST,800,78000,38.624678,-121.439203
5221 38TH AVE,746,78400,38.518044,-121.443555
6112 HERMOSA ST,1067,80000,38.515125,-121.480416
483 ARCADE BLVD,1316,89000,38.623571,-121.454884
671 SONOMA AVE,1337,90000,38.622953,-121.450142
5980 79TH ST,868,38.518373,-121.411779
7607 ELDER CREEK RD,924,92000,38.51055,-121.414768
5028 14TH AVE,610,93675,38.53942,-121.446894
14788 NATCHEZ CT,97750,38.492287,-121.100032
1069 ACACIA AVE,1220,98000,38.621998,-121.442238
5201 LAGUNA OAKS DR Unit 199,722,-121.444489
3847 LAS PASAS WAY,1643,99000,38.588672,-121.373916
5201 LAGUNA OAKS DR Unit 172,100000,-121.444489
1121 CREEKSIDE WAY,1080,106716,38.241514,-121.312199
5307 CABRILLO WAY,111000,38.52712,-121.435348
3725 DON JULIO BLVD,1051,38.67895,-121.379406
4803 MCCLOUD DR,967,114800,38.682279,-121.352817
10542 SILVERWOOD WAY,1098,120108,38.587156,-121.295778
6318 39TH AVE,1050,123225,38.518942,-121.430158
211 MCDANIEL CIR,1110,123750,38.636565,-121.460383
3800 LYNHURST WAY,888,38.650445,-121.374861
6139 HERMOSA ST,38.514665,-121.480411
2505 RHINE WAY,126000,38.717976,-121.407684
3692 PAYNE WAY,957,38.66654,-121.378298
604 MORRISON AVE,952,134000,38.637678,-121.452476
648 SANTA ANA AVE,1211,135000,38.658478,-121.450409
14 ASHLEY OAKS CT,1264,135500,38.61779,-121.436765
3174 NORTHVIEW DR,140000,38.623817,-121.477827
840 TRANQUIL LN,38.270617,-121.299205
5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,994,142500,38.662785,-121.276272
1035 MILLET WAY,1202,143500,38.631056,-121.48508
5201 LAGUNA OAKS DR Unit 126,145000,-121.444489
3328 22ND AVE,38.532727,-121.470783
8001 HARTWICK WAY,38.488623,-121.410582
7812 HARTWICK WAY,38.488611,-121.412808
4207 PAINTER WAY,1183,146000,38.692915,-121.367497
7458 WINKLEY WAY,1320,148500,38.487444,-121.491366
8354 SUNRISE WOODS WAY,1117,149000,38.473288,-121.3963
8116 COTTONMILL CIR,1364,38.482876,-121.405912
4660 CEDARWOOD WAY,1310,38.484834,-121.449316
9254 HARROGATE WAY,1006,38.420138,-121.412179
6716 TAREYTON WAY,156000,38.693724,-121.307169
2028 ROBERT WAY,810,38.609982,-121.419263
9346 AIZENBERG CIR,1123,38.41875,-121.370019
4524 LOCH HAVEN WAY,904,157788,38.67273,-121.359645
7140 BLUE SPRINGS WAY,1156,161653,38.720653,-121.302241
4631 11TH AVE,1321,161829,38.541965,-121.452132
3228 BAGGAN CT,1392,38.715346,-121.388163
8515 DARTFORD DR,1439,38.448288,-121.420719
4500 TIPPWOOD WAY,1159,169000,38.69951,-121.359989
2460 EL ROCCO WAY,1671,175000,38.591477,-121.31534
8244 SUNBIRD WAY,1740,176250,38.457654,-121.431381
